text_id	seq	span_s	span_e
dazzlingseason	5	2015-10-01 04:00:00 +0900	2015-11-01 04:00:00 +0900
aqualight	1	2015-11-01 04:00:00 +0900	2015-12-01 04:00:00 +0900
kimitomusic	2	2015-11-01 04:00:00 +0900	2015-12-01 04:00:00 +0900
landingonthemoon	3	2015-11-01 04:00:00 +0900	2015-12-01 04:00:00 +0900
aerial	4	2015-11-01 04:00:00 +0900	2015-12-01 04:00:00 +0900
impact	5	2015-11-01 04:00:00 +0900	2015-12-01 04:00:00 +0900
kimitomusic	1	2015-12-01 04:00:00 +0900	2016-01-01 04:00:00 +0900
headphoneparty	2	2015-12-01 04:00:00 +0900	2016-01-01 04:00:00 +0900
otherside	3	2015-12-01 04:00:00 +0900	2016-01-01 04:00:00 +0900
lotuslove	4	2015-12-01 04:00:00 +0900	2016-01-01 04:00:00 +0900
landingonthemoon	5	2015-12-01 04:00:00 +0900	2016-01-01 04:00:00 +0900
landingonthemoon	1	2016-01-01 04:00:00 +0900	2016-02-01 04:00:00 +0900
otherside	2	2016-01-01 04:00:00 +0900	2016-02-01 04:00:00 +0900
amenootoganijiwoyobu	3	2016-01-01 04:00:00 +0900	2016-02-01 04:00:00 +0900
gyakutensaiban	4	2016-01-01 04:00:00 +0900	2016-02-01 04:00:00 +0900
binaryoverdrive	5	2016-01-01 04:00:00 +0900	2016-02-01 04:00:00 +0900
otherside	1	2016-02-01 04:00:00 +0900	2016-03-01 04:00:00 +0900
amenootoganijiwoyobu	2	2016-02-01 04:00:00 +0900	2016-03-01 04:00:00 +0900
touchofgold	3	2016-02-01 04:00:00 +0900	2016-03-01 04:00:00 +0900
mikakuninxxseimeitai	4	2016-02-01 04:00:00 +0900	2016-03-01 04:00:00 +0900
anomie	5	2016-02-01 04:00:00 +0900	2016-03-01 04:00:00 +0900
amenootoganijiwoyobu	1	2016-03-01 04:00:00 +0900	2016-04-01 04:00:00 +0900
touchofgold	2	2016-03-01 04:00:00 +0900	2016-04-01 04:00:00 +0900
hontonowatashi	3	2016-03-01 04:00:00 +0900	2016-04-01 04:00:00 +0900
makeitfresh	4	2016-03-01 04:00:00 +0900	2016-04-01 04:00:00 +0900
giantkilling	5	2016-03-01 04:00:00 +0900	2016-04-01 04:00:00 +0900
touchofgold	1	2016-04-01 04:00:00 +0900	2016-05-01 04:00:00 +0900
hontonowatashi	2	2016-04-01 04:00:00 +0900	2016-05-01 04:00:00 +0900
loveless	3	2016-04-01 04:00:00 +0900	2016-05-01 04:00:00 +0900
remilkyway	4	2016-04-01 04:00:00 +0900	2016-05-01 04:00:00 +0900
breakdown	5	2016-04-01 04:00:00 +0900	2016-05-01 04:00:00 +0900
hontonowatashi	1	2016-05-01 04:00:00 +0900	2016-06-01 04:00:00 +0900
loveless	2	2016-05-01 04:00:00 +0900	2016-06-01 04:00:00 +0900
wannabeyourspecial	3	2016-05-01 04:00:00 +0900	2016-06-01 04:00:00 +0900
reuniverse	4	2016-05-01 04:00:00 +0900	2016-06-01 04:00:00 +0900
azitate	5	2016-05-01 04:00:00 +0900	2016-06-01 04:00:00 +0900
wannabeyourspecial	1	2016-06-01 04:00:00 +0900	2016-07-01 04:00:00 +0900
loveless	2	2016-06-01 04:00:00 +0900	2016-07-01 04:00:00 +0900
dazzlingseason	3	2016-06-01 04:00:00 +0900	2016-07-01 04:00:00 +0900
diamondskin	4	2016-06-01 04:00:00 +0900	2016-07-01 04:00:00 +0900
iluminaregalo	5	2016-06-01 04:00:00 +0900	2016-07-01 04:00:00 +0900
wannabeyourspecial	1	2016-07-01 04:00:00 +0900	2016-08-01 04:00:00 +0900
diamondskin	2	2016-07-01 04:00:00 +0900	2016-08-01 04:00:00 +0900
